"Politik und Verwaltung";"Wuppertal muss aktiver gegen Rechtsextremismus, Islamfeindlichkeit und Homophobie vorgehen."
"Politik und Verwaltung";"Wuppertal sollte Bescheide und -anträge in vereinfachter Form und leichter Sprache anbieten. "
"Politik und Verwaltung";"Das elektronische Rathaus sollte im Sinne einer Transparenzkultur weiter ausgebaut werden."
"Politik und Verwaltung";"Bürgerbeteiligungsverfahren können die finanziellen Probleme der Stadt nicht lösen."
"Politik und Verwaltung";"Die Sitzungen des Stadtrates sollten auch weiterhin im Internet übertragen werden."
"Bildung";"Die Schulsozialarbeit muss unbedingt erhalten bleiben."
"Bildung";"Wuppertal braucht mehr Gesamtschulplätze für längeres gemeinsames Lernen."
"Bildung";"Wuppertal besitzt genügend Ganztagsplätze in Kitas und Schulen."
"Bildung";"Das Angebot der Volkshochschule Wuppertal-Solingen ist völlig ausreichend."
"Bildung";"Wuppertal sollte freiwillig über die zur Verfügung gestellten Landesmittel hinaus mehr in Inklusion investieren."
"Kultur";"Kulturförderung ist angesichts der Haushaltslage ein Luxusgut. "
"Kultur";"Wuppertal sollte mehr geförderte und bezahlbare Freizeitangebote für behinderte Menschen anbieten."
"Kultur";"Ein festes Ensemble verleiht der Kulturlandschaft Wuppertals Gesicht, Ausdruck und Stimme."
"Kultur";"Wuppertal freut sich über ein Denkmal von Friedrich Engels aus der VR China."
"Kultur";"Die Nachtruhe der Anwohner ist höher zu bewerten als ein attraktives Szeneviertel."
"Wirtschaft und Energie";"Die Wuppertaler Stadtwerke sollten rekommunalisiert werden."
"Wirtschaft und Energie";"Wuppertal braucht mehr Praktikums- und Ausbildungsplätze auf dem 1. Arbeitsmarkt für Menschen mit Behinderungen."
"Wirtschaft und Energie";"Die Haushaltslage erlaubt keinen Umstieg auf erneuerbare Energien."
"Wirtschaft und Energie";"Wuppertal sollte durch die freie Nutzbarkeit von städtischen Daten attraktiver für IT-Firmen werden."
"Wirtschaft und Energie";"Die Gewerbesteuer sollte gesenkt werden, um Unternehmen anzusiedeln."
"Natur und Umwelt";"Wuppertal braucht eine Baumschutzsatzung."
"Natur und Umwelt";"Wuppertal ist zu schmutzig. Deswegen muss mehr Geld für Müllvermeidung ausgeben werden."
"Natur und Umwelt";"Wuppertal hat keine Wahl – Gewerbebetriebe müssen notfalls auch auf Kosten der Natur angesiedelt werden."
"Natur und Umwelt";"Wuppertal braucht einen eigenen Dezernenten für Umweltfragen."
"Natur und Umwelt";"Wuppertal soll einen Klimaschutzplan gemeinsam mit den Bürgern entwickeln und umsetzen."
"Stadtentwicklung";"Die Erweiterung der City-Arcaden ist wichtig für unsere Stadt."
"Stadtentwicklung";"IKEA mit Homepark ist eine wichtige Investition in unsere Stadt und wird zu keinem Verkehrschaos führen."
"Stadtentwicklung";"Der Döppersberg muss ohne Kompromisse verwirklicht werden."
"Stadtentwicklung";"Der Verkauf des Carnaper Platzes an die Stadtwerke beseitigt einen Schandfleck in Barmen."
"Stadtentwicklung";"Die Stadt Wuppertal muss unter Studierenden für den Wohnort Wuppertal gezielt werben."
"Verkehr und Mobilität";"Wuppertal ist und wird nie eine Fahrradstadt sein – das muss man akzeptieren."
"Verkehr und Mobilität";"Der ÖPNV in Wuppertal muss attraktiver werden, damit weniger Leute Auto fahren und die Straßen nicht mehr so verstopft sind."
"Verkehr und Mobilität";"Das werktäglichen Angebot des ÖPNV muss in den Abend- und Nachtstunden für alle Zielgruppen erweitert werden."
"Verkehr und Mobilität";"Wuppertal sollte sich für den kompromisslosen Ausbau der L419 in Ronsdorf einsetzen."
"Verkehr und Mobilität";"Alle Busse sollten mit Hinweisen zur Vorrangigkeit von Rollstühlen gegenüber Kinderwagen ausgestattet sein."
"Zusammenleben";"Der Bau einer neuen Moschee an der Gathe ist begrüßenswert."
"Zusammenleben";"Die Gebühr für Außengastronomie ist im Sinne ein Open-Air-Kultur zu senken."
"Zusammenleben";"Überall in Wuppertal sollte für Hunde Leinenzwang herrschen."
"Zusammenleben";"Es darf trotz Sparkurs keine Kürzungen im Bereich Sozialhilfe und Hilfe zur Pflege geben."
"Zusammenleben";"Wuppertal sollte sich für ein flächendeckendes, kostenloses WLAN einsetzen."
