1;
1;
1;
-1;
1;
0;
0;
-1;
0;
1;
1;Wer die Kultur ausgebaut haben möchte sollte sich auch an den Kosten beteiligen.
1;Jeder sollte Gott dankbar sein nicht zu dieser Gruppe gehören zu müssen.
0;Die Kosten für das feste Ensemble sind mit den Zuschauerzahlen nicht vereinbar.
-1;Nicht jeder kann sich mit dem Kommunismus anfreunden.
1;Menschen die einer Erwerbstätigkeit nachgehen brauchen ihre Nachtruhe, Lärm kann auf Dauer gesundheitsschädlich sein!
-1;Ein gesunder Wettbewerb kann nur positiv für den Verbraucher sein.
0;Dazu liegen uns keine Zahlen vor.
1;
-1;
1;Andere Kommunen haben es vorgemacht und ihre Gewerbesteuer gesenkt und eine Neuansiedlung aktiv unterstützt, einige sind nun Schuldenfrei, oder auf dem besten Weg dorthin.
1;Die Rodungen in den letzten Jahren ohne Baumschutzsatzung sind eine Katastrophe und für die Bürger nicht weiter hinnehmbar – siehe Hindenburgstr.
0;Der Bürger sieht selten einen Mülleimer in den er seinen Abfall entsorgen kann, da könnte die Kommune mehr machen.
-1;Die natur wurde durch wegfall der Baumschutzsatzung schon zur genüge verunstaltet!
1;
1;
-1;Die Einkaufszentren in Elberfeld nehmen sich jetzt schon die Kunden untereinander weg, und nach der Inbetriebnahme des „Investorenkubus“ am neuen Döppersberg wird die ganze Sache noch angespannter. Die rathausgalerie sieht jetzt schon sehr verlassen aus und wird den Döppersberg umbau nicht lange Überleben. Weitere Bauruinen sind in unserer Stadt nicht notwendig.
1;
0;Die Kostenbremse muss immer in Auge behalten werden.
-1;Wenn die Stadt ihrer Fürsorgepflicht endlich nachkommen würde, hätten wir einen attraktiven und schönen Platz für Veranstaltungen.
1;
1;
1;
1;Die Öffnungszeiten des Einzelhandels werden immer mehr in die Nachtstunden verlegt, wie sollen die Mitarbeiter dieser Unternehmen nach Hause kommen ohne den ÖPNV?
0;Ein effizienter Austausch mit dem Bürger ist dringen von nöten.
0;Der kostenlose Behindertenfahrdienst der Stadt steht jedem Rollstuhlfahrer zur Verfügung, Müttern und Vätern mit Kinderwagen ist diese Vorzugsdienst nicht zugänglich.
-1;Die Innenstadtlage macht dieses Anliegen zu einem Problem, warum kann man diese Mosche nicht in einem anderen Stadtteil bauen?
1;
-1;
0;
-1;da der Bürger gar nicht bereit dazu ist – Stichwort: Datensicherheit – wäre hier die Gefahr des Missbrauches viel zu hoch – zusätzlich ist der Kosten-Nutzen-Effekt nicht gegeben.









